id,name,island,saga,start,end,kind,rating,watch,future,banner,moments,summary
romance-dawn,Romance Dawn,Dawn Island,East Blue,1,3,canon,8.1,1h 10m,false,,The first crew member joins | A promise made under open sky | Setting sail for the first time,"Where the journey begins and a captain sets out with a single, unshakable promise."
orange-town,Orange Town,Orange Town,East Blue,4,8,canon,7.6,1h 55m,false,,A daring rooftop rescue | An unlikely alliance | A clown's grand entrance,"A quiet town meets a loud crew, and a fight breaks out over the price of pride."
syrup-village,Syrup Village,Gecko Islands,East Blue,9,18,canon,8,3h 50m,false,,A slope battle at dawn | A new crewmate's true colors | The crew earns a vessel,"A village on a cliff, a boy who cries wolf, and a ship worth defending."
baratie,Baratie,Sea Restaurant,East Blue,19,30,canon,8.4,4h 35m,false,,A cook's impossible standard | A duel of swordsmen | A dream worth starving for,"A floating restaurant becomes a battlefield of dreams, debts, and devotion."
arlong-park,Arlong Park,Conomi Islands,East Blue,31,44,canon,9.1,5h 25m,false,,"The tattoo and the map room | ""...help me."" | The end of a long debt","A village under a long shadow, and a navigator who finally asks for help."
loguetown,Loguetown,Loguetown,East Blue,45,53,canon,8.2,3h 25m,false,,"A scaffold under stormy skies | A new weapon, a new resolve | The gateway to the Grand Line","The town of beginnings and endings, and the last stop before the real adventure."
reverse-mountain,Reverse Mountain,Reverse Mountain,Alabasta,62,63,canon,7.8,0h 50m,false,,A climb against the current | A whale with a long memory | The first steps onto the Grand Line,The only way into the Grand Line is up — a mountain where the sea itself climbs to the clouds.
whisky-peak,Whisky Peak,Cactus Island,Alabasta,64,67,canon,7.9,1h 30m,false,,A wine-soaked welcome | A swordsman versus a crowd | A secret organization revealed,A welcoming town that is not at all what it seems.
little-garden,Little Garden,Little Garden,Alabasta,70,77,canon,8,3h 05m,false,,A duel that never ends | A clash of giants | An escape against the clock,A prehistoric island where two old warriors keep a century-long promise.
drum-island,Drum Island,Drum Island,Alabasta,78,91,canon,8.7,5h 25m,false,,A climb up a frozen mountain | A reindeer's dream | A new crewmate joins,"A snowbound kingdom, a castle on a peak, and the search for a doctor."
alabasta,Alabasta,Sandy Kingdom,Alabasta,92,130,canon,9.3,15h 10m,false,ARC_BANNER_ALABASTA,A march across the sands | A rooftop showdown | An X marks a vow,"A desert kingdom on the edge of war, and a princess fighting for her people."
jaya,Jaya,Jaya,Sky Island,144,152,canon,8.5,3h 30m,false,,A bar full of trouble | A liar worth believing | A leap toward the sky,A rough port town and a dreamer who believes in a city in the clouds.
skypiea,Skypiea,Sky Island,Sky Island,153,195,canon,9,16h 40m,false,,Arrival above the clouds | A bell that rings for an explorer | A 400-year-old dream,"An island in the heavens, an ancient bell, and a story written in gold."
long-ring,Long Ring Long Land,Long Ring Land,Water 7,207,219,canon,7.7,5h 05m,false,,A strange long-legged land | A race against rivals | A captain's gamble,A stretched-out island and a contest where more than treasure is on the line.
water-7,Water 7,Water 7,Water 7,229,263,canon,9.2,13h 30m,false,,A city built on water | A painful misunderstanding | A flag that will not fall,"A city of canals and shipwrights, where the crew faces its hardest question yet."
enies-lobby,Enies Lobby,Enies Lobby,Water 7,264,312,canon,9.6,18h 50m,false,ARC_BANNER_ENIES_LOBBY,"A declaration over the sea | Eight against an institution | ""I want to live!""","A fortress of judgment, a declaration of war, and a fight to bring someone home."
post-enies,Post-Enies Lobby,Return to Water 7,Water 7,313,325,canon,8.6,5h 05m,false,,A new dream-ship revealed | A tearful goodbye | Bounties posted,"The quiet after the storm — farewells, a new ship, and a bounty that changes everything."
thriller-bark,Thriller Bark,Thriller Bark,Thriller Bark,337,381,canon,8.8,17h 20m,false,,A mansion in the mist | A shadow stolen at midnight | A gentleman's debt repaid,"A ghost ship the size of an island, a long night of fog, and a new face hiding behind a song."
sabaody,Sabaody Archipelago,Sabaody Archipelago,Summit War,385,405,canon,9.4,8h 05m,false,,A lawless mangrove grove | The wider world bares its teeth | A scattering none saw coming,The last stop before a far greater sea — a lawless grove where the crew meets the wider world.
amazon-lily,Amazon Lily,Amazon Lily,Summit War,408,417,canon,8.7,4h 00m,false,,An island that bars all men | A proud empress | An unlikely passage granted,An island of warriors with rules of their own.
impel-down,Impel Down,Impel Down,Summit War,422,452,canon,9.2,12h 00m,false,,A descent through the levels | Old foes turned fellow travelers | A breakout against all odds,A prison beneath the sea with six descending levels.
marineford,Marineford,Marineford,Summit War,457,489,canon,9.7,12h 45m,false,ARC_BANNER_MARINEFORD,A war that draws every power | The plaza where it all converges | An hour that changes the seas,The arc everyone warns you about. We won't.
post-war,Post-War,Across the Seas,Summit War,490,516,canon,8.4,10h 20m,false,,A world rocked by the news | A quiet vow renewed | A message hidden in the headlines,"The world reels from a war that changed everything, and a scattered crew each find their own resolve."
return-to-sabaody,Return to Sabaody,Sabaody Archipelago,Fish-Man Island,517,522,canon,8.2,2h 20m,false,,"Familiar faces, changed | Impostors and mix-ups | A crew made whole again","After two long years apart, a crew finds its way back to the grove where they once scattered."
fishman-island,Fish-Man Island,Fish-Man Island,Fish-Man Island,523,574,canon,8,19h 55m,false,,A descent beneath the sea | A kingdom under glass | A choice between fear and forgiveness,"Ten thousand meters beneath the waves, a sunlit island carries old wounds and fragile hopes."
punk-hazard,Punk Hazard,Punk Hazard,Dressrosa,579,625,canon,8.4,18h 00m,false,,An island of fire and ice | An unlikely new alliance | Something inhuman in the labs,"A burning, freezing island split in two, where a distress call leads somewhere far stranger."
dressrosa,Dressrosa,Dressrosa,Dressrosa,629,746,canon,8.9,45h 15m,false,,A colosseum of champions | A country of living toys | An old score waiting to be settled,"A kingdom of flowers, toys, and gladiators, where a cheerful surface hides a long cruelty."
zou,Zou,Zou,Whole Cake Island,751,779,canon,8.5,11h 05m,false,,A walk atop a living island | A people long hidden | A secret only half-told,"An island that rides on the back of a giant, where a hidden people guard a centuries-old trust."
whole-cake-island,Whole Cake Island,Totto Land,Whole Cake Island,783,877,canon,9.1,36h 25m,false,,A territory of living food | A tea party with deadly manners | A daring escape by sea,"A land of sweets and tea parties ruled with an iron sweet tooth, where an invitation is a trap dressed as a feast."
levely,Levely,Mary Geoise,Whole Cake Island,878,889,canon,8.6,4h 35m,false,,Royalty from every sea | Reunions long overdue | Decisions made behind closed doors,"Kings and queens of the world gather on the holy land, and quiet conversations carry the weight of nations."
wano,Wano Country,Wano Country,Wano Country,890,1085,canon,9.5,70h+,false,ARC_BANNER_WANO,A land behind closed borders | Samurai and their code | A storm long in the making,"A faraway land of samurai, sealed borders, and a storm long in the making."
egghead,Egghead,Egghead Island,Final Saga,1086,1155,canon,9,26h 50m,false,,An island from the future | Machines beyond imagining | A genius's hospitality,"A futuristic island of science years ahead of its time, where wonder and danger share the same bright halls."
elbaph,Elbaph,Elbaph,Final Saga,1156,1166,canon,8.8,4h 15m,false,,A land out of legend | Giants and their warrior code | A new chapter begins,"The fabled land of giants and warriors, a place of legend long spoken of and finally reached."
